[17:04:44] [INFO] [StartLoader:Backend] sendProgress(19, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(19, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(19, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(19, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(19, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(19, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(19, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(19, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(20, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(20, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(20, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(20, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(20, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(20, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(20, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(21, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(21, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(21, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(21, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(21, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(21, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(21, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(21, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(22, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(22, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(22, 'UPDATING_DATABASE')
[17:04:44] [INFO] [StartLoader:Backend] sendProgress(22, 'UPDATING_DATABASE')
